Unnamed: 0,Species,Country.of.Origin,Farm.Name,Company,Region,Producer,Grading.Date,Owner.1,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Total.Cup.Points,Moisture,Color
343,Arabica,Colombia,,ecom cca sa,cundinamarca,,"June 24th, 2014",Compañia Colombiana Agroindustrial S.A,Natural / Dry,7.67,7.58,7.67,7.67,7.67,7.67,10.0,10.0,10.0,83.58,0.0,Green
344,Arabica,Colombia,,ecom cca sa,santander,,"March 13th, 2014",Compañia Colombiana Agroindustrial S.A,Washed / Wet,7.67,7.58,7.67,7.58,7.67,7.75,10.0,10.0,10.0,83.58,0.12,Green
345,Arabica,Colombia,,ecom cca sa,santander,,"March 21st, 2014",Compañia Colombiana Agroindustrial S.A,Washed / Wet,7.75,7.58,7.5,7.58,7.75,7.83,10.0,10.0,10.0,83.58,0.0,
346,Arabica,Taiwan,dragon coffee 龍咖啡,blossom valley宸嶧國際,taichung xinshe 台中市新社區,Gu zhi min 古智閔,"December 26th, 2013",CQI Taiwan ICP CQI台灣合作夥伴,Other,7.75,7.75,7.75,7.75,7.5,7.58,10.0,10.0,10.0,83.58,0.11,Green
347,Arabica,Colombia,,c.i.racafe & cia s.c.a,huila,LA PLATA,"August 31st, 2012",Racafe & Cia S.C.A,Washed / Wet,7.67,7.67,7.58,7.67,7.75,7.58,10.0,10.0,10.0,83.58,0.11,Green
348,Arabica,Mexico,ojo de agua,ecomtrading,xalapa,JULIAN ALBERTO URRUTIA MOYA,"June 6th, 2012",ALFREDO BOJALIL,Washed / Wet,7.83,7.67,7.58,7.58,7.67,7.58,10.0,10.0,10.0,83.58,0.12,
349,Arabica,Colombia,,carcafe ltda,cundinamarca,ORLANDO ORTIZ/WILSON SANCHEZ/GILBERTO ACOSTA,"April 2nd, 2012",CARCAFE LTDA CI,Natural / Dry,7.67,7.58,7.58,7.58,7.67,7.75,10.0,10.0,10.0,83.58,0.11,Green
350,Arabica,Brazil,fazenda jericó,nucoffee,south of minas,Alvaro Resende Aguiar,"January 23rd, 2012",NUCOFFEE,Semi-washed / Semi-pulped,7.83,7.75,7.5,7.75,7.5,7.58,10.0,10.0,10.0,83.58,0.12,Blue-Green
351,Arabica,Colombia,,carcafe ltda,cundinamarca,Orlando Moreno / Willson Sanchez,"February 20th, 2017",CARCAFE LTDA CI,Washed / Wet,7.75,7.58,7.58,7.75,7.75,7.5,10.0,10.0,10.0,83.5,0.0,Bluish-Green
352,Arabica,Taiwan,南投縣魚池鄉水社村中正路63-1號,宸嶧國際,,黑咖啡道王憲備0912326001        ,"February 13th, 2017",CQI Taiwan ICP CQI台灣合作夥伴,,7.58,7.58,7.17,7.17,7.0,7.0,10.0,10.0,10.0,83.5,0.11,Blue-Green
353,Arabica,Costa Rica,,"ceca,s.a.",tarrazu,Martin Gutierrez,"June 6th, 2016","CECA, S.A.",Washed / Wet,7.92,7.42,7.5,7.67,7.5,7.67,10.0,10.0,10.0,83.5,0.0,Blue-Green
354,Arabica,Colombia,,carcafe ltda,pitalito,Mecias Urbano / Yaniver Alvarez,"April 7th, 2016",CARCAFE LTDA CI,Natural / Dry,7.75,7.58,7.58,7.5,7.75,7.75,10.0,10.0,10.0,83.5,0.0,Green
355,Arabica,Guatemala,la esperanza,"unex guatemala, s.a.",oriente,MARGARITA AVILA DE NUYENS,"March 16th, 2016",Juan Luis Alvarado Romero,Washed / Wet,7.67,7.75,7.5,7.83,7.58,7.58,10.0,10.0,10.0,83.5,0.1,Bluish-Green
356,Arabica,Colombia,,racafe & cia s.c.a,huila,La Plata,"November 19th, 2015",Racafe & Cia S.C.A,Washed / Wet,7.58,7.58,7.58,7.58,7.75,7.67,10.0,10.0,10.0,83.5,0.12,Green
357,Arabica,"Tanzania, United Republic Of",ano family,tawoca,nkure- meru,Mr & Mrs Damari Absalome,"November 16th, 2015",Damari Absalome,Washed / Wet,7.75,7.67,7.58,7.67,7.67,7.58,10.0,10.0,10.0,83.5,0.13,Green
358,Arabica,Indonesia,yusrin,pt. olam indonesia,bener meriah,Yusrin,"September 14th, 2015",Aulia Arif Syahri,Semi-washed / Semi-pulped,7.25,7.67,7.58,7.92,7.83,7.58,10.0,10.0,10.0,83.5,0.13,Bluish-Green
359,Arabica,Ethiopia,,debesa agro industry plc,oromia,Debesa,"March 31st, 2015",Debesa Agro Industry Plc,Natural / Dry,7.67,7.75,7.5,7.58,7.75,7.67,10.0,10.0,10.0,83.5,0.1,
360,Arabica,Colombia,,federacion nacional de cafeteros,huila,,"March 12th, 2015",Federacion Nacional de Cafeteros,Washed / Wet,7.67,7.42,7.67,7.83,7.58,7.67,10.0,10.0,10.0,83.5,0.0,
361,Arabica,Colombia,,exportadora de cafe condor s.a,huila,,"January 22nd, 2015",Exportadora de Cafe Condor S.A,Washed / Wet,8.0,7.58,7.25,7.58,7.92,7.58,10.0,10.0,10.0,83.5,0.11,Green
362,Arabica,Guatemala,several,the coffee source inc.,atitlan,UNEX,"December 18th, 2014",The Coffee Source Inc.,Washed / Wet,7.58,7.75,7.5,7.83,7.42,7.67,10.0,10.0,10.0,83.5,0.1,Green
363,Arabica,Colombia,,ecom cca sa,cundinamarca,,"August 11th, 2014",Compañia Colombiana Agroindustrial S.A,Washed / Wet,7.75,7.58,7.33,7.5,7.83,7.83,10.0,10.0,10.0,83.5,0.0,
364,Arabica,Honduras,los hicaques,cigrah,comayagua,Reynerio Zepeda,"April 8th, 2014",,Natural / Dry,7.67,7.5,7.67,7.5,7.67,7.67,10.0,10.0,10.0,83.5,0.1,Green
365,Arabica,Colombia,,exportadora de cafe condor s.a,huila,,"April 26th, 2013",Exportadora de Cafe Condor S.A,Washed / Wet,7.58,7.75,7.42,7.67,7.75,7.67,10.0,10.0,10.0,83.5,0.0,Green
366,Arabica,Colombia,,exportadora de cafe condor s.a,huila,,"May 24th, 2013",Exportadora de Cafe Condor S.A,Washed / Wet,7.58,7.67,7.58,7.75,7.58,7.75,10.0,10.0,10.0,83.5,0.11,Green
367,Arabica,Mexico,finca los barreales 1112lban,finca los barreales,xalapa,MANUEL HERRERA JUAREZ,"August 31st, 2012",MANUEL HERRERA JUAREZ,Natural / Dry,7.83,7.58,7.25,7.5,7.5,7.42,10.0,10.0,10.0,83.5,0.13,Green
368,Arabica,Mexico,,estrategias constructivas corzu s.a. de c.v.,chilón,ARMANDO GUTIERREZ GUZMAN,"August 30th, 2012",MIGUEL CORTES MORENO,Semi-washed / Semi-pulped,7.67,7.75,7.67,7.75,7.58,7.5,10.0,10.0,10.0,83.5,0.11,Green
369,Arabica,Mexico,la corralera,,totutla,GABRIEL BERNARD RIVAS ROSS,"July 11th, 2012",GABRIEL BERNARDO RIVAS ROSS,Washed / Wet,7.75,7.67,7.67,7.75,7.33,7.5,10.0,10.0,10.0,83.5,0.12,Green
370,Arabica,Guatemala,santo tomas pachuj,kanematsu corporation / rnp santo tomas pachuj,atitlan,RNP SANTO TOMAS PACHUJ / KANEMATSU CORPORATION,"April 30th, 2012",Juan Luis Alvarado Romero,Washed / Wet,7.83,7.5,7.5,8.0,7.67,7.5,10.0,10.0,10.0,83.5,0.1,Green
371,Arabica,Colombia,,c.i.racafe & cia s.c.a,huila,La Plata,"February 9th, 2012",Racafe & Cia S.C.A,Washed / Wet,7.67,7.58,7.58,7.67,7.67,7.67,10.0,10.0,10.0,83.5,0.11,Green
372,Arabica,Guatemala,conquista / morito,coffee resources inc.,oriente,ConquistaMorito,"February 1st, 2012",Felipe Isaza,Washed / Wet,7.5,7.5,7.75,7.5,8.0,7.67,10.0,10.0,10.0,83.5,0.0,Green
373,Arabica,United States (Hawaii),,,,,"March 8th, 2011",Kona Pacific Farmers Cooperative,,7.5,7.67,7.58,7.92,7.58,7.67,10.0,10.0,10.0,83.5,0.01,
374,Arabica,Indonesia,pancoer angkrek,,bondowoso,PT. PERKEBUNAN NUSANTARA XII,"November 29th, 2010",Specialty Coffee Association of Indonesia,,7.83,7.58,7.58,7.58,7.75,7.58,10.0,10.0,10.0,83.5,0.0,
375,Arabica,Colombia,,carcafe ltda,huila,FRANKLIN DUSSAN / HIPOLITO TORRES,"November 9th, 2017",CARCAFE LTDA CI,Washed / Wet,7.5,7.58,7.58,7.5,7.75,7.83,10.0,10.0,10.0,83.42,0.0,Green
376,Arabica,Guatemala,piamonte,"unex guatemala, s.a.",san marcos,JORGE LEAL,"August 23rd, 2017",Juan Luis Alvarado Romero,Washed / Wet,7.67,7.75,7.5,7.58,7.58,7.67,10.0,10.0,10.0,83.42,0.1,Green
377,Arabica,Colombia,,carcafe ltda,huila,FRANKLIN DUSSAN / HIPOLOTO TORRES,"May 10th, 2017",CARCAFE LTDA CI,Washed / Wet,7.67,7.67,7.5,7.67,7.67,7.58,10.0,10.0,10.0,83.42,0.11,Green
378,Arabica,Costa Rica,gamboa,"ceca,s.a.",tarrazu,Martin Gutierrez,"February 17th, 2017","CECA, S.A.",Washed / Wet,7.58,7.5,7.42,7.92,7.5,7.67,10.0,10.0,10.0,83.42,0.09,Blue-Green
379,Arabica,Taiwan,日月潭文武莊園,宸嶧國際,,黃素貞0939227229,"February 13th, 2017",CQI Taiwan ICP CQI台灣合作夥伴,,7.67,7.67,7.0,7.08,7.0,7.0,10.0,10.0,10.0,83.42,0.11,Blue-Green
380,Arabica,Uganda,bulago & buginyanya,bugisu cooperative union,eastern,Bulago & Buginyanya,"July 21st, 2016",Bugisu Cooperative Union,Washed / Wet,7.58,7.75,7.33,7.75,7.67,7.58,10.0,10.0,10.0,83.42,0.11,Green
381,Arabica,Thailand,matsuzawa coffee,matsuzawa coffee,thailand,Matsuzawa Coffee,"June 27th, 2016",松澤宏樹 Koju Matsuzawa,Washed / Wet,7.5,7.58,7.75,7.5,7.75,7.67,10.0,10.0,10.0,83.42,0.13,Bluish-Green
382,Arabica,El Salvador,la joya,consejo salvadoreño del café,apaneca,"Ibero El Salvador, S.A. de C.V.","April 25th, 2016",Consejo Salvadoreño del Café,Washed / Wet,7.58,7.5,7.75,7.58,7.75,7.67,10.0,10.0,10.0,83.42,0.11,
383,Arabica,Colombia,,carcafe ltda,huila,FRANKLIN DUSSAN/ANDRES RODRIGUEZ/HIPOLITO TORRES,"April 29th, 2015",CARCAFE LTDA CI,Natural / Dry,7.58,7.67,7.58,7.67,7.58,7.67,10.0,10.0,10.0,83.42,0.12,Green
384,Arabica,Brazil,cachoeira da grama farm,bourbon specialty coffees,vale da grama,GABRIEL CARVALHO DIAS,"January 15th, 2015",BOURBON SPECIALTY COFFEES,Semi-washed / Semi-pulped,7.33,7.83,7.75,7.5,7.42,7.83,10.0,10.0,10.0,83.42,0.12,Green
385,Arabica,"Tanzania, United Republic Of",ngila estate,ngila estate ltd,karatu northern,Ngila Estate Ltd,"December 12th, 2014",Ngila Estate Ltd,Washed / Wet,7.75,7.67,7.58,7.67,7.58,7.58,10.0,10.0,10.0,83.42,0.13,Green
386,Arabica,Colombia,,ecom cca sa,huila,,"October 15th, 2014",Compañia Colombiana Agroindustrial S.A,Washed / Wet,7.58,7.58,7.25,7.75,7.75,8.58,9.33,10.0,10.0,83.42,0.12,Green
387,Arabica,Guatemala,el papaturro,"unex guatemala, s.a.",oriente,AMILCAR LAPOLA,"August 21st, 2014",Juan Luis Alvarado Romero,Natural / Dry,7.75,7.83,7.33,7.83,7.5,7.67,10.0,10.0,10.0,83.42,0.1,Green
388,Arabica,Guatemala,finca medina,"siembras vision, s.a.",antigua,"SIEMBRAS VISIÓN, S.A.","February 18th, 2014",Juan Luis Alvarado Romero,Washed / Wet,7.67,7.75,7.5,7.83,7.58,7.5,10.0,10.0,10.0,83.42,0.1,Green
389,Arabica,Guatemala,el morito,"unex guatemala, s.a.",oriente,ROBERTO MONTERROSO,"July 16th, 2013",Juan Luis Alvarado Romero,Washed / Wet,7.67,7.5,7.75,7.42,7.75,7.75,10.0,10.0,10.0,83.42,0.11,Green
390,Arabica,United States (Hawaii),,kona pacific farmers cooperative,kona,,"January 24th, 2013",Kona Pacific Farmers Cooperative,Natural / Dry,7.42,7.75,7.67,7.58,7.67,7.67,10.0,10.0,10.0,83.42,0.0,Green
391,Arabica,Colombia,various,exportadora de cafe condor s.a,cundinamarca,Exportadora de cafe condor,"June 26th, 2012",Exportadora de Cafe Condor S.A,Washed / Wet,7.5,7.75,7.58,7.5,7.67,7.75,10.0,10.0,10.0,83.42,0.11,Green
392,Arabica,Colombia,,,huila,,"February 1st, 2011",Federación Nacional de Cafeteros,,7.58,7.58,7.58,7.67,7.75,7.67,10.0,10.0,10.0,83.42,0.1,
393,Arabica,United States (Hawaii),kona pacific farmers cooperative,,kona,Kona Pacific Farmers Co-Op,"December 27th, 2010",Kona Pacific Farmers Cooperative,,7.5,7.92,7.42,7.67,7.83,7.58,10.0,10.0,10.0,83.42,0.01,
394,Arabica,Thailand,doi tung development project,,,Doi Tung Development Project,"April 13th, 2010",Doi Tung Development Project,,7.58,7.25,7.5,7.92,7.92,7.42,10.0,10.0,10.0,83.42,0.11,
395,Arabica,Mexico,,,nayarit,"Productores de Cafe de El Cuarenteno, S. de P.R. de R.L","May 26th, 2010",Grounds for Health Admin,,7.25,7.88,7.38,7.63,7.5,8.75,9.0,10.0,10.0,83.38,0.09,
396,Arabica,Colombia,various,exportadora de cafe condor s.a,huila,various,"November 8th, 2016",Exportadora de Cafe Condor S.A,Washed / Wet,7.75,7.5,7.75,7.58,7.58,7.58,10.0,10.0,10.0,83.33,0.0,
397,Arabica,Colombia,,racafe & cia s.c.a,guayata,,"June 15th, 2016",Racafe & Cia S.C.A,Washed / Wet,7.67,7.58,7.58,7.42,7.67,7.75,10.0,10.0,10.0,83.33,0.0,Blue-Green
398,Arabica,Colombia,,racafe & cia s.c.a,huila,La Plata,"May 5th, 2016",Racafe & Cia S.C.A,Washed / Wet,7.83,7.58,7.58,7.58,7.5,7.58,10.0,10.0,10.0,83.33,0.0,Green
399,Arabica,Brazil,rio verde,ipanema coffees,south of minas,Ipanema Agrícola SA,"October 12th, 2015",Ipanema Coffees,Semi-washed / Semi-pulped,7.5,7.83,7.33,7.58,7.58,7.92,10.0,10.0,10.0,83.33,0.1,Green
400,Arabica,Mexico,ecc,exportadora café california,chiapas,ECC,"July 14th, 2015",ANDREAS KUSSMAUL,Washed / Wet,7.75,7.75,7.5,7.67,7.5,7.58,10.0,10.0,10.0,83.33,0.12,Green
401,Arabica,Colombia,various,exportadora de cafe condor s.a,santander,varios,"April 8th, 2015",Exportadora de Cafe Condor S.A,Washed / Wet,7.67,7.75,7.42,7.83,7.83,7.42,10.0,10.0,10.0,83.33,0.11,Green
402,Arabica,"Tanzania, United Republic Of",mondul coffee estate,mondul coffee estate,arusha,Mondul Coffee Estate,"December 12th, 2014",AFCA,Semi-washed / Semi-pulped,7.75,7.58,7.67,7.58,7.58,7.58,10.0,10.0,10.0,83.33,0.12,Green
403,Arabica,Mexico,el pino,"café andrade, s.a. de c.v.",veracruz,JOSÉ LUIS ANDRADE SANDARA,"July 15th, 2014",J.ANDRADE,Washed / Wet,7.67,7.67,7.58,7.67,7.5,7.58,10.0,10.0,10.0,83.33,0.12,Green
404,Arabica,Costa Rica,several,the coffee source inc.,san ramon,SEVERAL,"April 7th, 2014",The Coffee Source Inc.,Washed / Wet,7.67,7.67,7.42,7.67,7.67,7.67,10.0,10.0,10.0,83.33,0.12,Green
405,Arabica,United States (Hawaii),,kona pacific farmers cooperative,kona,,"February 25th, 2014",Eileen Koyanagi,Natural / Dry,7.83,7.58,7.83,7.67,7.92,8.0,9.33,10.0,9.33,83.33,0.11,Bluish-Green
406,Arabica,Costa Rica,several,coricafe s.a.,central valley,CORICAFE BLEND,"February 14th, 2014",Eric Thormaehlen,Washed / Wet,7.5,7.67,7.67,7.5,7.83,7.17,10.0,10.0,10.0,83.33,0.11,Green
407,Arabica,Peru,,sustainable harvest,,,"January 21st, 2014",Dane Loraas,Washed / Wet,7.83,7.75,7.58,7.83,7.92,7.58,9.33,10.0,10.0,83.33,0.12,Green
408,Arabica,Haiti,marre blanche,itiah coffee llc.,"thiotte, haiti",COOPCAB,"October 3rd, 2013",ITIAH COFFEE LLC,Washed / Wet,7.58,7.5,7.67,7.5,7.83,7.42,10.0,10.0,10.0,83.33,0.11,Green
409,Arabica,Colombia,,carcafe ltda,pitalito,ORLANDO ORTIZ / HIPOLITO TORRES,"April 26th, 2013",CARCAFE LTDA CI,Natural / Dry,7.67,7.67,7.5,7.67,7.92,7.42,10.0,10.0,10.0,83.33,0.11,Green
410,Arabica,Guatemala,el sacramento,"unex guatemala, s.a.",oriente,LUIS RODRIGUEZ,"February 26th, 2013",Juan Luis Alvarado Romero,Washed / Wet,7.83,7.67,7.17,7.67,7.67,7.67,10.0,10.0,10.0,83.33,0.11,Green
411,Arabica,United States (Hawaii),,kona pacific farmers cooperative,kona,,"January 24th, 2013",Kona Pacific Farmers Cooperative,Natural / Dry,7.92,7.5,7.58,7.83,7.67,7.67,9.33,10.0,10.0,83.33,0.1,Bluish-Green
412,Arabica,Burundi,sogestal kayanza,the specialty coffee appraisers institute of asia,kayanza,,"August 29th, 2012",Steven Kil,Washed / Wet,7.75,7.67,7.33,7.5,7.5,7.75,10.0,10.0,10.0,83.33,0.0,
413,Arabica,Colombia,,exportadora de cafe condor s.a,huila,condor,"May 30th, 2012",Exportadora de Cafe Condor S.A,Washed / Wet,7.5,7.67,7.67,7.58,7.67,7.58,10.0,10.0,10.0,83.33,0.0,Green
414,Arabica,United States (Hawaii),,,kona,,"September 20th, 2011",Kona Pacific Farmers Cooperative,,8.08,7.83,7.83,7.75,7.67,7.58,9.33,10.0,9.33,83.33,0.01,
415,Arabica,United States (Hawaii),,,,,"February 24th, 2011",Kona Pacific Farmers Cooperative,,7.58,7.67,7.58,7.5,7.83,7.67,10.0,10.0,10.0,83.33,0.0,
416,Arabica,Mexico,corta pico,cafe de don balbino s.c. de r.l. de c.v.,sierra madre occidental,BALBINO RAMIREZ FLORES,"March 7th, 2017",CAFE DE DON BALBINO S.C. DE R.L. DE C.V.,Washed / Wet,7.67,7.83,7.42,7.83,7.33,7.5,10.0,10.0,10.0,83.25,0.11,Blue-Green
417,Arabica,Costa Rica,estate la patricia,bold coast coffee,tarrazu,Manuel Montero,"January 30th, 2017",Troy Quimby,Pulped natural / honey,7.5,7.5,7.83,7.5,7.67,7.67,10.0,10.0,10.0,83.25,0.11,Green
418,Arabica,Costa Rica,coopellanobonito,panamerican coffee trading,tarrazu,Coopellanobonito,"September 20th, 2016",Rodrigo Soto,Washed / Wet,7.83,7.5,7.42,7.67,7.5,7.67,10.0,10.0,10.0,83.25,0.11,
419,Arabica,Guatemala,linda vista,mercon guatemala s.a.,nuevo oriente,PABLO CHUY,"August 12th, 2016",Juan Luis Alvarado Romero,Washed / Wet,7.5,7.58,7.42,7.83,7.67,7.58,10.0,10.0,10.0,83.25,0.11,Green
420,Arabica,Uganda,kawacom uganda ltd sipi farmers group,kawacom uganda ltd,"sipi, mt elgon",Kawacom Uganda LTD,"May 19th, 2016",Kawacom Uganda LTD,Washed / Wet,7.5,7.67,7.67,7.42,7.67,7.67,10.0,10.0,10.0,83.25,0.12,Green
421,Arabica,Brazil,,bourbon specialty coffees,campos altos - cerrado,,"January 12th, 2016",BOURBON SPECIALTY COFFEES,,7.58,7.67,7.42,7.5,7.67,7.42,10.0,10.0,10.0,83.25,0.12,Green
422,Arabica,Colombia,,carcafe ltda,huila,FRANKLIN DUSSAN,"November 27th, 2015",CARCAFE LTDA CI,Natural / Dry,7.58,7.67,7.67,7.17,7.75,7.83,10.0,10.0,10.0,83.25,0.0,Green
423,Arabica,Mexico,los charcos,productos y servicios chilindron s.a. de c.v.,cuarenteño,Rafael Arroyo Zoto,"July 14th, 2015",PRODUCTOS Y SERVICIOS CHILINDRON S.A. DE C.V.,Natural / Dry,7.83,7.75,7.5,7.58,7.58,7.58,10.0,10.0,10.0,83.25,0.12,Bluish-Green
424,Arabica,Taiwan,sunshine valley estate 向陽高山咖啡,taiwan coffee laboratory,natou county,LIN YEN CHIEN 林言謙,"June 18th, 2015","Lin, Che-Hao Krude 林哲豪",Washed / Wet,7.67,7.5,7.5,7.5,7.67,7.83,10.0,10.0,10.0,83.25,0.1,Blue-Green
425,Arabica,Taiwan,以勒咖啡,宸嶧國際,南投國姓,蘇詠晴,"November 23rd, 2014",CQI Taiwan ICP CQI台灣合作夥伴,Washed / Wet,7.92,7.83,7.75,7.58,7.5,7.33,10.0,10.0,10.0,83.25,0.1,Green
426,Arabica,Colombia,,ecom cca sa,eje cafetero,,"June 24th, 2014",Compañia Colombiana Agroindustrial S.A,Natural / Dry,7.58,7.58,7.5,7.58,7.58,7.75,10.0,10.0,10.0,83.25,0.0,Green
427,Arabica,Guatemala,finca medina,"siembras vision, s.a.",antigua,"SIEMBRAS VISIÓN, S.A.","March 7th, 2014",Juan Luis Alvarado Romero,Washed / Wet,7.5,7.67,7.58,7.67,7.67,7.5,10.0,10.0,10.0,83.25,0.1,Green
428,Arabica,Colombia,,exportadora de cafe condor s.a,huila,,"August 2nd, 2013",Exportadora de Cafe Condor S.A,Washed / Wet,7.83,7.5,7.67,7.33,7.67,7.67,10.0,10.0,10.0,83.25,0.11,Green
429,Arabica,Mexico,various,"finca triunfo verde, s.c.",chiapas,VRIOS PRODUCTORES,"March 29th, 2013",CALIXTO GUILLEN VAZQUEZ,Washed / Wet,7.58,7.75,7.5,7.5,7.58,7.58,10.0,10.0,10.0,83.25,0.12,Green
430,Arabica,United States (Hawaii),,kona pacific farmers cooperative,kona,,"March 21st, 2013",Kona Pacific Farmers Cooperative,Natural / Dry,7.58,7.75,7.83,8.0,8.08,7.67,9.33,10.0,9.33,83.25,0.11,Bluish-Green
431,Arabica,Mexico,finca teocelo,finca teocelo,veracruz,ERNESTO RODRIGUEZ LUNA,"August 1st, 2012",ERNESTO RODRIGUEZ LUNA,Washed / Wet,7.75,7.58,7.58,7.58,7.5,7.58,10.0,10.0,10.0,83.25,0.13,Green
432,Arabica,Mexico,mata larga,,fortín de las flores,MODESTO LANDEROS FLORES,"July 11th, 2012",MODESTO LANDEROS FLORES,Washed / Wet,7.75,7.75,7.42,7.92,7.33,7.5,10.0,10.0,10.0,83.25,0.12,Blue-Green
433,Arabica,Guatemala,agropecuaria quiagral,"unex guatemala, s.a.",oriente,AGROPECUARIA QUIAGRAL,"July 9th, 2012",Juan Luis Alvarado Romero,Washed / Wet,7.83,7.58,7.08,7.83,7.42,8.08,10.0,10.0,10.0,83.25,0.11,Green
434,Arabica,Brazil,água limpa,nucoffee,grama valley,Eliane de Andrade Cyrino Noqueira,"February 23rd, 2012",NUCOFFEE,Semi-washed / Semi-pulped,7.75,7.67,7.5,7.58,7.58,7.58,10.0,10.0,10.0,83.25,0.11,Blue-Green
435,Arabica,Colombia,,exportadora de cafe condor s.a,huila,,"February 22nd, 2012",Exportadora de Cafe Condor S.A,Washed / Wet,7.67,7.58,7.58,7.42,7.83,7.58,10.0,10.0,10.0,83.25,0.12,Green
436,Arabica,Colombia,,c.i.racafe & cia s.c.a,la plata,La Plata,"February 9th, 2012",Racafe & Cia S.C.A,Washed / Wet,7.67,7.67,7.5,7.5,7.58,7.67,10.0,10.0,10.0,83.25,0.11,Green
437,Arabica,Colombia,,,huila,,"June 14th, 2011",Exportadora de Cafe Condor S.A,,7.92,7.75,7.25,7.42,7.83,7.58,10.0,10.0,10.0,83.25,0.08,
438,Arabica,Colombia,,,cauca,,"February 22nd, 2011",Exportadora de Cafe Condor S.A,,8.0,7.67,7.67,7.25,7.67,7.5,10.0,10.0,10.0,83.25,0.13,
439,Arabica,Colombia,,,cundinamarca,Exportadora de Café Cóndor S.A,"January 17th, 2011",Exportadora de Cafe Condor S.A,,7.92,7.75,7.5,7.42,7.42,7.67,10.0,10.0,10.0,83.25,0.04,
440,Arabica,Brazil,fazenda capoeirnha,ipanema coffees,south of minas,Ipanema Agricola S.A,"October 20th, 2017",Ipanema Coffees,Natural / Dry,7.67,7.42,7.5,7.58,7.67,7.58,10.0,10.0,10.0,83.17,0.11,Green
441,Arabica,Guatemala,beneficio el torreon,"unex guatemala, s.a.",oriente,AGROINDUSTRIAS CAFETALERAS,"August 24th, 2017",Juan Luis Alvarado Romero,Washed / Wet,7.58,7.58,7.33,7.67,7.75,7.58,10.0,10.0,10.0,83.17,0.1,Green
442,Arabica,"Tanzania, United Republic Of",mamsera,volcafe/taylorwinch tanzania ltd,moshi,Mamsera,"June 20th, 2017",Taylor Winch (T) Ltd,Washed / Wet,7.67,7.58,7.42,7.67,7.67,7.58,10.0,10.0,10.0,83.17,0.12,Green
443,Arabica,Peru,,prodlesur sa,,,"June 16th, 2017",ANDREA BERNAL,,7.92,7.5,7.5,7.58,7.67,7.5,10.0,10.0,10.0,83.17,0.11,Green
444,Arabica,Vietnam,apollo estate,"sunvirtue co., ltd.",dala,"Yeh, Li Chuan","May 8th, 2017","Sunvirtue Co., Ltd.",Natural / Dry,7.58,7.42,7.08,7.33,7.58,8.58,10.0,10.0,10.0,83.17,0.07,None
445,Arabica,Guatemala,finca medina,"siembras vision, s.a.",antigua,FINCA MEDINA,"May 23rd, 2016",Juan Luis Alvarado Romero,Washed / Wet,7.67,7.75,7.42,7.75,7.58,7.5,10.0,10.0,10.0,83.17,0.11,Green
446,Arabica,Honduras,bethel,cadexsa,marcala,JOSE OMAR ACOSTA,"May 2nd, 2016",CADEXSA,Washed / Wet,7.67,7.67,7.5,7.67,7.5,7.67,10.0,10.0,10.0,83.17,0.11,Blue-Green
447,Arabica,China,chen lin,yunnan coffee exchange,yunnan,Mojiang Jinggong Estate Speciality Development Co.Ltd,"April 6th, 2016",Yunnan Coffee Exchange,Washed / Wet,7.5,7.67,7.33,7.67,7.67,7.67,10.0,10.0,10.0,83.17,0.11,Green
448,Arabica,China,yunnan success trade co.ltd,yunnan coffee exchange,dehong prefecture,Yunnan Success Trade Co.Ltd,"April 5th, 2016",Yunnan Coffee Exchange,Washed / Wet,7.67,7.67,7.5,7.67,7.42,7.58,10.0,10.0,10.0,83.17,0.1,Green
449,Arabica,El Salvador,agua caliente,consejo salvadoreño del café,apaneca,Ecom Agroindustrial Corp. Ltd.,"March 29th, 2016",Consejo Salvadoreño del Café,Washed / Wet,7.5,7.5,7.33,7.67,8.0,7.67,10.0,10.0,10.0,83.17,0.0,Green
450,Arabica,Guatemala,finca medina,"siembras vision, s.a.",antigua,FINCA MEDINA,"October 29th, 2015",Juan Luis Alvarado Romero,Washed / Wet,7.5,7.75,7.5,7.83,7.58,7.5,10.0,10.0,10.0,83.17,0.11,Green
451,Arabica,Guatemala,"la esperanza, margarita nuyes","unex guatemala, s.a.",oriente,PAPATURRO,"September 29th, 2015",Juan Luis Alvarado Romero,Washed / Wet,7.92,7.67,7.42,7.75,7.5,7.5,10.0,10.0,10.0,83.17,0.12,Green
452,Arabica,Kenya,,taylor winch (coffee) ltd,kenya,,"July 3rd, 2015",Taylor Winch (Coffee) Ltd.,Washed / Wet,7.83,7.75,7.67,7.75,7.83,8.5,9.33,9.33,9.33,83.17,0.1,Bluish-Green
453,Arabica,Thailand,,doi tung development project,thailand,Doi Tung Development Project,"June 9th, 2015",Doi Tung Development Project,Washed / Wet,7.67,7.58,7.58,7.75,7.42,7.67,10.0,10.0,10.0,83.17,0.12,Bluish-Green
454,Arabica,"Tanzania, United Republic Of",myanganyanga,tutunze kahawa ltd,mbinga,Tutunze Kahawa Ltd,"December 12th, 2014",Tutunze Kahawa Ltd,Washed / Wet,7.58,7.67,7.67,7.58,7.42,7.58,10.0,10.0,10.0,83.17,0.13,Bluish-Green
